strategy,prompts,crops,window,dev_auroc,heldout_auroc
margin_maxmax_plus_center,generic,max,31,0.5087,0.619
margin_pooled_plus_center,generic,max,15,0.5076,0.6062
margin_pooled,surveillance,mean,31,0.5027,0.6124
margin_pooled,campus,max,5,0.5008,0.5112
margin_pooled_plus_center,generic,max,31,0.4996,0.6025
margin_maxmax,generic,max,5,0.4944,0.5371
margin_pooled,campus,max,1,0.4913,0.5012
margin_maxmax,generic,max,1,0.4887,0.5533
margin_maxmax,generic,max,15,0.4868,0.5297
margin_maxmax_plus_center,generic,mean,1,0.4865,0.581
margin_maxmax_plus_center,generic,mean,5,0.4849,0.5867
margin_pooled,generic,max,5,0.4812,0.5189
margin_pooled,generic,max,1,0.4796,0.53
margin_pooled,generic,max,15,0.4756,0.5192
margin_maxmax,generic,max,31,0.4696,0.5369
margin_maxmax_plus_center,generic,mean,15,0.4695,0.5968
margin_pooled,generic,max,31,0.4622,0.5207
margin_pooled_plus_center,generic,mean,1,0.4616,0.5826
margin_pooled_plus_center,generic,mean,5,0.46,0.5822
margin_pooled_plus_center,generic,mean,15,0.4563,0.5833
margin_maxmax_plus_center,generic,mean,31,0.4504,0.5872
margin_maxmax,generic,mean,1,0.4406,0.5066
margin_pooled_plus_center,generic,mean,31,0.4401,0.5697
margin_maxmax,generic,mean,5,0.4395,0.5054
margin_maxmax,generic,mean,15,0.4246,0.5118
margin_pooled,generic,mean,1,0.4094,0.5054
margin_maxmax,generic,mean,31,0.4019,0.503
margin_pooled,generic,mean,5,0.3936,0.4964
margin_pooled,generic,mean,15,0.3831,0.4919
margin_pooled,generic,mean,31,0.3683,0.491
