strategy,prompts,crops,window,dev_mean,heldout_mean,heldout_std,all_clips
margin_pooled_plus_motion5,union,whole,5,0.6309,0.6277,0.0226,0.6285
textdev_w50_plus_motion5,surveillance,whole,5,0.6309,0.6347,0.0305,0.6329
motion1,-,whole,1,0.6307,0.6305,0.0191,0.6308
textdev_w150_plus_motion5,campus,whole,5,0.6307,0.6306,0.0113,0.631
textdev_clip_plus_motion1,campus,whole,5,0.6305,0.6351,0.0099,0.6329
textdev_w150_plus_motion1,campus,whole,5,0.6302,0.6344,0.0096,0.6325
margin_pooled_plus_motion5,disjoint,whole,5,0.6301,0.6257,0.0221,0.6276
margin_maxmax_plus_motion5,disjoint,whole,5,0.6301,0.6257,0.0221,0.6276
margin_pooled_plus_motion1,disjoint,whole,5,0.6297,0.6346,0.0192,0.6317
margin_maxmax_plus_motion1,disjoint,whole,5,0.6297,0.6346,0.0192,0.6317
margin_maxmax_plus_motion5,surveillance,whole,1,0.6295,0.6214,0.0191,0.6243
margin_pooled_plus_motion1,campus,whole,15,0.6291,0.6273,0.0189,0.6275
textdev_clip_plus_motion1,union,whole,1,0.6291,0.6351,0.0213,0.6323
margin_pooled_plus_motion5,campus,whole,15,0.6286,0.6298,0.0202,0.6292
textdev_clip_plus_center,disjoint,whole,5,0.6283,0.6305,0.0273,0.6301
textdev_clip,surveillance,whole,1,0.628,0.6495,0.0358,0.6407
textdev_w150_plus_center,disjoint,whole,1,0.627,0.6295,0.0279,0.6284
textdev_w50,disjoint,whole,5,0.6265,0.6504,0.0204,0.6386
textdev_w50_plus_motion5,campus,whole,5,0.6263,0.628,0.0124,0.6271
textdev_w50_plus_center,disjoint,whole,31,0.6263,0.633,0.0279,0.63
textdev_w150_plus_center,surveillance,whole,31,0.6258,0.6345,0.0377,0.6308
textdev_w150_plus_center,surveillance,whole,15,0.6255,0.6349,0.0363,0.6307
textdev_w50_plus_motion1,union,whole,5,0.6252,0.6414,0.0186,0.6334
textdev_w50_plus_motion1,surveillance,whole,5,0.6244,0.6412,0.0331,0.6332
margin_pooled_plus_center,surveillance,whole,15,0.6243,0.6402,0.0338,0.6323
margin_maxmax_plus_motion1,surveillance,whole,1,0.622,0.6244,0.0243,0.6225
textdev_w50,disjoint,whole,1,0.6215,0.6427,0.0183,0.6323
textdev_w50_plus_motion5,union,whole,1,0.6207,0.6232,0.0147,0.6222
textdev_w150_plus_center,surveillance,whole,5,0.62,0.6298,0.0363,0.6254
textdev_w50_plus_motion5,surveillance,whole,1,0.6191,0.6232,0.0271,0.6216
textdev_clip_plus_center,surveillance,whole,31,0.6191,0.6259,0.0378,0.6233
margin_maxmax_plus_motion5,generic,whole,15,0.6189,0.6074,0.0196,0.6131
textdev_clip_plus_center,disjoint,whole,1,0.6189,0.6211,0.0271,0.6202
textdev_clip_plus_center,surveillance,whole,15,0.6187,0.6252,0.0357,0.6227
margin_maxmax_plus_center,surveillance,whole,15,0.6183,0.625,0.0292,0.6209
margin_maxmax_plus_motion1,generic,whole,15,0.6174,0.612,0.0211,0.6152
margin_pooled_plus_motion1,union,whole,5,0.6173,0.6175,0.0199,0.6158
textdev_w150_plus_center,union,whole,31,0.6173,0.6204,0.0243,0.619
textdev_clip_plus_motion5,campus,whole,1,0.6169,0.616,0.0075,0.6166
textdev_w150_plus_motion5,campus,whole,1,0.6168,0.6184,0.0092,0.6178
textdev_w50_plus_motion1,campus,whole,5,0.6164,0.6261,0.0144,0.6213
margin_maxmax_plus_motion5,campus,whole,5,0.6162,0.6176,0.025,0.6155
textdev_clip_plus_center,union,whole,31,0.6158,0.6186,0.0227,0.6175
margin_pooled_plus_center,disjoint,whole,31,0.6154,0.6186,0.0316,0.6174
margin_maxmax_plus_center,disjoint,whole,31,0.6154,0.6186,0.0316,0.6174
margin_pooled_plus_motion5,disjoint,whole,1,0.6147,0.6195,0.0244,0.6161
margin_maxmax_plus_motion5,disjoint,whole,1,0.6147,0.6195,0.0244,0.6161
textdev_w50_plus_motion5,campus,whole,1,0.6144,0.6159,0.0112,0.6153
margin_maxmax_plus_motion1,campus,whole,5,0.614,0.6135,0.0205,0.6119
margin_maxmax,surveillance,whole,5,0.6138,0.6393,0.0277,0.6249
textdev_w150_plus_center,surveillance,whole,1,0.6124,0.6206,0.0344,0.617
textdev_w50_plus_center,disjoint,whole,15,0.6122,0.6282,0.0264,0.6205
textdev_w150,union,whole,15,0.6119,0.6251,0.0171,0.6183
textdev_w50_plus_motion1,surveillance,whole,1,0.6119,0.628,0.0339,0.6205
textdev_clip_plus_center,surveillance,whole,5,0.6116,0.6187,0.0357,0.616
margin_maxmax_plus_motion5,generic,whole,31,0.611,0.5958,0.0206,0.6032
margin_maxmax_plus_motion1,generic,whole,31,0.6106,0.608,0.0227,0.6101
textdev_w150,union,whole,31,0.6099,0.6251,0.0184,0.6176
textdev_w150_plus_center,union,whole,15,0.6095,0.6147,0.0233,0.612
textdev_w50_plus_motion1,union,whole,1,0.6093,0.6227,0.0195,0.6162
margin_maxmax_plus_motion5,union,whole,5,0.6091,0.6155,0.025,0.6109
textdev_w150,union,whole,5,0.6087,0.6189,0.0153,0.6138
textdev_w50_plus_center,disjoint,whole,5,0.6087,0.6232,0.0245,0.6166
textdev_w150_plus_motion1,campus,whole,1,0.6084,0.6097,0.0115,0.6095
margin_maxmax_plus_motion1,generic,whole,5,0.6082,0.6067,0.0193,0.6082
margin_pooled,disjoint,whole,5,0.6077,0.6108,0.0276,0.6079
margin_maxmax,disjoint,whole,5,0.6077,0.6108,0.0276,0.6079
textdev_clip_plus_motion1,campus,whole,1,0.6075,0.6085,0.0117,0.6082
textdev_clip,union,whole,31,0.607,0.625,0.018,0.616
textdev_clip_plus_center,surveillance,whole,1,0.6067,0.6139,0.0333,0.611
margin_maxmax_plus_center,campus,whole,31,0.6066,0.6091,0.0222,0.6077
margin_pooled_plus_center,union,whole,31,0.6064,0.613,0.0266,0.6096
textdev_clip_plus_center,union,whole,15,0.6064,0.6119,0.0231,0.6091
margin_maxmax_plus_center,union,whole,31,0.606,0.6087,0.0248,0.6071
margin_maxmax_plus_motion1,union,whole,5,0.606,0.6095,0.0208,0.6058
margin_pooled_plus_center,disjoint,whole,15,0.6059,0.6162,0.0277,0.6109
margin_maxmax_plus_center,disjoint,whole,15,0.6059,0.6162,0.0277,0.6109
margin_pooled,disjoint,whole,1,0.6052,0.612,0.0277,0.6075
margin_maxmax,disjoint,whole,1,0.6052,0.612,0.0277,0.6075
margin_maxmax_plus_motion5,generic,whole,5,0.6049,0.5986,0.0184,0.6022
margin_pooled_plus_center,surveillance,whole,5,0.6049,0.6208,0.0347,0.6126
textdev_w150,union,whole,1,0.6043,0.6102,0.0146,0.6073
textdev_clip,union,whole,15,0.6039,0.6213,0.0184,0.6123
margin_pooled,disjoint,whole,15,0.6035,0.6047,0.0266,0.6029
margin_maxmax,disjoint,whole,15,0.6035,0.6047,0.0266,0.6029
textdev_w50_plus_center,disjoint,whole,1,0.6032,0.6149,0.0241,0.6094
textdev_w50_plus_motion1,campus,whole,1,0.6028,0.6118,0.0153,0.6075
textdev_w150_plus_center,union,whole,5,0.6016,0.6046,0.022,0.6031
margin_maxmax_plus_center,surveillance,whole,5,0.6014,0.6016,0.03,0.6002
margin_pooled,disjoint,whole,31,0.6004,0.5966,0.0259,0.5977
margin_maxmax,disjoint,whole,31,0.6004,0.5966,0.0259,0.5977
margin_pooled_plus_center,disjoint,whole,5,0.6002,0.6128,0.0229,0.606
margin_maxmax_plus_center,disjoint,whole,5,0.6002,0.6128,0.0229,0.606
textdev_w50_plus_center,union,whole,31,0.5994,0.6095,0.0212,0.6049
margin_pooled,union,whole,31,0.5986,0.5999,0.0244,0.598
textdev_clip_plus_center,union,whole,5,0.5973,0.5996,0.0211,0.5985
textdev_clip,union,whole,5,0.5969,0.6103,0.0161,0.6035
margin_pooled_plus_center,disjoint,whole,1,0.5964,0.6097,0.0224,0.6025
margin_maxmax_plus_center,disjoint,whole,1,0.5964,0.6097,0.0224,0.6025
textdev_clip_plus_center,campus,whole,31,0.5938,0.5951,0.0168,0.5944
textdev_w150_plus_center,union,whole,1,0.5935,0.5936,0.0202,0.5935
textdev_w50_plus_center,union,whole,15,0.5934,0.6041,0.0213,0.5988
margin_pooled_plus_motion5,campus,whole,5,0.5926,0.5888,0.0236,0.5901
margin_pooled_plus_motion1,disjoint,whole,1,0.592,0.5982,0.0231,0.5947
margin_maxmax_plus_motion1,disjoint,whole,1,0.592,0.5982,0.0231,0.5947
margin_pooled_plus_motion5,union,whole,1,0.5919,0.5826,0.0235,0.5859
margin_maxmax_plus_motion5,generic,whole,1,0.5908,0.5928,0.0157,0.5924
textdev_w50_plus_center,campus,whole,31,0.5906,0.6001,0.0224,0.5957
textdev_w50,surveillance,whole,15,0.5903,0.622,0.0324,0.6071
textdev_clip,union,whole,1,0.5899,0.5987,0.0152,0.5943
textdev_w50,surveillance,whole,31,0.5893,0.6194,0.0315,0.6054
margin_maxmax_plus_center,campus,whole,15,0.5891,0.59,0.0248,0.5882
margin_maxmax_plus_motion1,generic,whole,1,0.5884,0.5955,0.0221,0.5928
textdev_clip_plus_center,union,whole,1,0.5884,0.5871,0.0191,0.5876
margin_maxmax_plus_center,union,whole,15,0.5873,0.5862,0.0271,0.5852
margin_pooled_plus_center,union,whole,15,0.587,0.5882,0.0271,0.5866
textdev_w50_plus_center,campus,whole,15,0.5868,0.5926,0.0212,0.5895
textdev_w150_plus_center,campus,whole,31,0.5863,0.5847,0.0163,0.5854
textdev_w50_plus_center,surveillance,whole,31,0.5858,0.5925,0.0323,0.5896
center,-,whole,31,0.5856,0.5852,0.0252,0.5853
margin_pooled_plus_motion1,campus,whole,5,0.5855,0.5805,0.0201,0.5818
margin_maxmax,surveillance,whole,1,0.5851,0.6089,0.0251,0.5952
textdev_clip_plus_center,campus,whole,15,0.5832,0.5854,0.0158,0.5836
textdev_w50,surveillance,whole,5,0.5829,0.6117,0.0306,0.5983
margin_pooled_plus_motion1,union,whole,1,0.5829,0.5789,0.0234,0.5792
textdev_w50_plus_center,surveillance,whole,15,0.5821,0.5932,0.033,0.5879
margin_pooled_plus_center,surveillance,whole,1,0.5814,0.5935,0.0352,0.5864
textdev_w50_plus_center,union,whole,5,0.581,0.591,0.0197,0.5861
margin_pooled_plus_center,campus,whole,31,0.5802,0.5782,0.0236,0.579
textdev_w50_plus_center,surveillance,whole,5,0.5798,0.5917,0.0316,0.5861
textdev_w50_plus_center,surveillance,whole,1,0.5794,0.5879,0.0285,0.5839
textdev_w50,surveillance,whole,1,0.5792,0.6037,0.0271,0.5923
textdev_w150_plus_center,campus,whole,15,0.5786,0.5805,0.0161,0.579
margin_pooled_plus_motion5,generic,whole,15,0.578,0.5755,0.0351,0.5771
margin_pooled_plus_motion1,generic,whole,15,0.5763,0.5821,0.0375,0.5797
textdev_w50,union,whole,31,0.5761,0.602,0.0134,0.5891
center,-,whole,15,0.5757,0.5764,0.022,0.5753
margin_pooled_plus_motion1,generic,whole,5,0.5739,0.5819,0.0358,0.5788
textdev_w50,union,whole,15,0.5738,0.5964,0.0141,0.5848
textdev_w50_plus_center,campus,whole,5,0.5736,0.5782,0.0172,0.5757
textdev_w50,union,whole,5,0.5733,0.5922,0.0118,0.5828
textdev_w50_plus_center,union,whole,1,0.5733,0.5786,0.0183,0.5759
margin_pooled_plus_motion5,generic,whole,31,0.5726,0.5699,0.0363,0.5713
textdev_clip_plus_center,campus,whole,5,0.5719,0.5744,0.0127,0.5722
margin_pooled_plus_motion1,generic,whole,31,0.5708,0.5762,0.0389,0.5738
margin_maxmax_plus_motion5,campus,whole,1,0.5707,0.569,0.0291,0.5675
textdev_w50,union,whole,1,0.5704,0.5861,0.0114,0.5783
margin_pooled_plus_motion5,generic,whole,5,0.5703,0.5692,0.03,0.5704
textdev_w150_plus_center,campus,whole,5,0.5699,0.5688,0.0142,0.5685
margin_pooled,union,whole,15,0.5698,0.5675,0.0264,0.5667
margin_pooled_plus_motion5,generic,whole,1,0.5693,0.5717,0.0298,0.5713
center,-,whole,5,0.5662,0.5645,0.0213,0.5646
margin_maxmax_plus_center,generic,whole,15,0.5654,0.5615,0.0249,0.5629
textdev_w50_plus_center,campus,whole,1,0.5654,0.5682,0.0154,0.5665
margin_maxmax_plus_motion5,union,whole,1,0.5652,0.568,0.0296,0.5642
margin_pooled_plus_center,campus,whole,15,0.5649,0.5606,0.0256,0.5616
textdev_clip_plus_center,campus,whole,1,0.5639,0.5622,0.0113,0.5623
textdev_w150_plus_center,campus,whole,1,0.5633,0.5619,0.0123,0.5619
textdev_clip_plus_motion1,generic,whole,15,0.5631,0.5716,0.0358,0.5679
margin_pooled_plus_motion1,generic,whole,1,0.5627,0.569,0.036,0.5668
textdev_w50_plus_motion1,generic,whole,15,0.5624,0.578,0.0353,0.5706
margin_maxmax,campus,whole,31,0.5623,0.5578,0.0271,0.559
margin_maxmax_plus_center,campus,whole,5,0.5623,0.5575,0.0261,0.5577
textdev_w50_plus_motion1,generic,whole,31,0.5619,0.5776,0.0369,0.5702
margin_maxmax_plus_center,generic,whole,5,0.5613,0.56,0.0231,0.5607
textdev_clip_plus_motion5,generic,whole,15,0.5613,0.5603,0.0351,0.5611
margin_maxmax,union,whole,31,0.561,0.5602,0.0292,0.5595
center,-,whole,1,0.5604,0.5574,0.0208,0.5583
margin_maxmax_plus_motion1,campus,whole,1,0.5603,0.554,0.0247,0.5547
textdev_w50_plus_motion5,generic,whole,15,0.5598,0.565,0.035,0.5624
margin_pooled_plus_center,union,whole,5,0.5594,0.5527,0.0274,0.5544
textdev_clip_plus_motion1,generic,whole,5,0.5587,0.5695,0.0349,0.565
margin_maxmax_plus_center,generic,whole,31,0.5586,0.5522,0.0265,0.5551
margin_maxmax_plus_center,surveillance,whole,1,0.5584,0.5506,0.0272,0.5523
textdev_w50_plus_motion5,generic,whole,31,0.558,0.5651,0.0378,0.5614
textdev_w50_plus_motion1,generic,whole,5,0.5578,0.5719,0.0338,0.5654
margin_maxmax_plus_center,union,whole,5,0.5576,0.553,0.0271,0.553
textdev_clip_plus_motion5,generic,whole,31,0.5573,0.5602,0.0353,0.5588
textdev_clip_plus_motion1,generic,whole,31,0.5572,0.5677,0.0367,0.5628
textdev_w150_plus_motion5,generic,whole,15,0.5553,0.5516,0.0356,0.5538
textdev_clip_plus_motion5,generic,whole,5,0.5553,0.5547,0.0304,0.5556
textdev_clip_plus_motion5,generic,whole,1,0.555,0.5578,0.0313,0.5571
textdev_w50_plus_motion5,generic,whole,1,0.5547,0.5591,0.0291,0.5575
margin_maxmax_plus_motion1,union,whole,1,0.5539,0.5488,0.026,0.5488
textdev_w150_plus_motion1,generic,whole,15,0.5536,0.5602,0.0371,0.5574
textdev_w150,campus,whole,1,0.5531,0.5523,0.0066,0.5525
textdev_w50,campus,whole,1,0.5527,0.5635,0.0073,0.5579
textdev_w150,campus,whole,5,0.5527,0.5551,0.0068,0.5536
textdev_w150_plus_motion5,generic,whole,5,0.5526,0.5508,0.031,0.5522
textdev_w50,campus,whole,5,0.5525,0.5659,0.0071,0.559
textdev_w150_plus_motion1,generic,whole,5,0.5523,0.5605,0.0358,0.5572
textdev_w150_plus_motion5,generic,whole,1,0.5511,0.5531,0.0321,0.5528
margin_maxmax,campus,whole,15,0.551,0.5478,0.025,0.5478
