strategy,prompts,crops,window,dev_mean,heldout_mean,heldout_std,all_clips
textdev_w150_plus_motion1,none,whole,1,0.6469,0.6686,0.0368,0.6584
textdev_w50_plus_motion5,mismatched,whole,15,0.6465,0.6535,0.0301,0.6501
textdev_w50_plus_motion1,none,whole,15,0.6454,0.6614,0.036,0.6536
textdev_w150_plus_motion5,generic,whole,1,0.6454,0.6504,0.0344,0.6484
margin_maxmax_plus_motion5,none,whole,1,0.645,0.6428,0.0288,0.6435
margin_maxmax_plus_motion5,mismatched,whole,1,0.645,0.6428,0.0288,0.6435
margin_maxmax_plus_center,none,whole,31,0.6448,0.6481,0.0362,0.6467
margin_pooled_plus_motion5,generic,whole,1,0.6448,0.6498,0.0331,0.6481
margin_maxmax_plus_center,mismatched,whole,31,0.6448,0.6481,0.0362,0.6467
textdev_clip_plus_motion5,generic,whole,1,0.6448,0.6498,0.0331,0.6481
margin_maxmax,generic,whole,15,0.6447,0.6641,0.0372,0.6537
margin_pooled_plus_motion1,none,whole,1,0.6444,0.6666,0.0366,0.6564
textdev_clip_plus_motion1,none,whole,1,0.6444,0.6666,0.0366,0.6564
textdev_w150_plus_motion5,mismatched,whole,1,0.6444,0.6509,0.03,0.648
margin_maxmax_plus_motion5,generic,whole,1,0.6442,0.6415,0.0288,0.6424
textdev_w150,generic,whole,1,0.6439,0.6653,0.0408,0.6557
textdev_w50_plus_motion5,generic,whole,15,0.6438,0.6566,0.0373,0.6502
margin_pooled_plus_motion5,mismatched,whole,1,0.6437,0.6476,0.0281,0.6461
textdev_clip_plus_motion5,mismatched,whole,1,0.6437,0.6476,0.0281,0.6461
motion5,-,whole,5,0.6435,0.629,0.0098,0.6367
margin_maxmax,none,whole,15,0.6434,0.6641,0.0365,0.653
margin_maxmax,mismatched,whole,15,0.6434,0.6641,0.0365,0.653
margin_maxmax_plus_center,generic,whole,31,0.6426,0.6462,0.036,0.6445
textdev_w50_plus_motion1,generic,whole,15,0.6426,0.6589,0.0366,0.6507
margin_pooled,matched,whole,15,0.6424,0.6757,0.0345,0.6603
textdev_clip,matched,whole,15,0.6424,0.6757,0.0345,0.6603
textdev_w50_plus_motion5,matched,whole,5,0.6421,0.6567,0.0291,0.6495
margin_pooled,mismatched,whole,31,0.6417,0.6622,0.0303,0.6526
textdev_clip,mismatched,whole,31,0.6417,0.6622,0.0303,0.6526
margin_pooled,mismatched,whole,15,0.6415,0.6616,0.0329,0.6521
textdev_clip,mismatched,whole,15,0.6415,0.6616,0.0329,0.6521
textdev_w50_plus_motion1,matched,whole,5,0.6414,0.6693,0.0273,0.6554
margin_maxmax_plus_motion1,none,whole,1,0.6406,0.6477,0.0296,0.6438
margin_maxmax_plus_motion1,mismatched,whole,1,0.6406,0.6477,0.0296,0.6438
textdev_w150,matched,whole,1,0.6405,0.6637,0.0304,0.6527
margin_maxmax_plus_motion1,generic,whole,1,0.6398,0.6462,0.03,0.6426
margin_pooled,generic,whole,1,0.6396,0.6631,0.0422,0.6531
textdev_clip,generic,whole,1,0.6396,0.6631,0.0422,0.6531
textdev_w50_plus_motion1,mismatched,whole,15,0.6388,0.649,0.0286,0.6439
textdev_w150,mismatched,whole,15,0.6383,0.6608,0.0344,0.6499
margin_pooled,generic,whole,5,0.6382,0.6619,0.0403,0.6514
textdev_clip,generic,whole,5,0.6382,0.6619,0.0403,0.6514
textdev_w150,mismatched,whole,31,0.638,0.662,0.0309,0.6504
margin_maxmax,matched,whole,15,0.6375,0.6671,0.0299,0.652
textdev_w150_plus_motion1,generic,whole,1,0.6374,0.6553,0.0372,0.6469
margin_pooled,matched,whole,5,0.6371,0.6687,0.03,0.654
textdev_clip,matched,whole,5,0.6371,0.6687,0.03,0.654
margin_pooled,generic,whole,15,0.637,0.6658,0.0408,0.6524
textdev_clip,generic,whole,15,0.637,0.6658,0.0408,0.6524
textdev_w150,generic,whole,5,0.6367,0.659,0.0405,0.6486
margin_pooled_plus_motion1,mismatched,whole,1,0.6364,0.6526,0.0314,0.6448
textdev_clip_plus_motion1,mismatched,whole,1,0.6364,0.6526,0.0314,0.6448
textdev_w150_plus_motion1,mismatched,whole,1,0.6363,0.6549,0.0327,0.6458
margin_maxmax_plus_center,none,whole,15,0.6349,0.6382,0.0348,0.637
margin_maxmax_plus_center,mismatched,whole,15,0.6349,0.6382,0.0348,0.637
textdev_w150,mismatched,whole,5,0.6347,0.6573,0.0342,0.6466
margin_pooled_plus_motion1,generic,whole,1,0.6347,0.6544,0.0365,0.6454
textdev_clip_plus_motion1,generic,whole,1,0.6347,0.6544,0.0365,0.6454
margin_pooled,mismatched,whole,5,0.6346,0.6546,0.034,0.6452
textdev_clip,mismatched,whole,5,0.6346,0.6546,0.034,0.6452
textdev_w150,mismatched,whole,1,0.634,0.6564,0.0358,0.6454
textdev_w150,generic,whole,15,0.6334,0.6581,0.0415,0.6462
